udid,install_date,lang,country,hw_ver,os_ver
0dea4092479b4c4a995678c3c9f66bd0,3/7/2016,en,NZ,"iPhone7,2",9.2.1
58d00cbbffb44ebea77d44d3dd618068,3/7/2016,th,TH,"iPad5,2",9.2
23fc76ecc18748b5a10e49b13b858d8f,3/7/2016,en,US,"iPhone8,2",9.2.1
ec6f073c82b9449b8440983cbc416fb2,3/1/2016,en,AL,"iPhone3,1",7.1.2
cc2e988330bb45608622e25c997f7799,3/1/2016,it,IT,"iPhone7,2",9.2.1
b351ef1536ff4cccbda918d7fae8bbdc,3/1/2016,en,US,"iPhone5,2",9.2.1
46510e38dcbc4f188503b705740143c8,3/1/2016,en,GB,"iPhone7,2",9.2.1
c37e15a06b8a4e66b1a85b59ad70e6ab,3/1/2016,en,SE,"iPhone6,2",9.2.1
f7e9b613127c4c2e9bcb8c1f42edddac,3/1/2016,en,US,"iPhone5,2",9.1
73a12e555d574f7cb05cf3b7251daf3e,3/1/2016,zh,TW,"iPhone7,1",8.4
4bd2215082fd49c59c585eacfae68dbf,3/1/2016,en,GB,"iPhone6,2",9.2.1
18357082f527418ebfac86ef75c51b0c,3/1/2016,en,AU,"iPhone6,2",9.2.1
a4afcbf618ed4cd594fad3ba8f5224c6,3/1/2016,en,US,"iPad5,4",9.0.2
17de5204d8f24bcc803b6fddf76345bc,3/1/2016,nl,NL,"iPad2,5",9.2.1
b9991d51d3284fd68b55af7d38c00bdd,3/1/2016,en,US,"iPhone6,1",9.2.1
904ee68369494125924d39cc9430c7be,3/1/2016,en,GB,"iPhone5,3",9.2.1
5bb9428ddf8b4692b1847de707455430,3/1/2016,en,US,"iPhone5,2",9.2.1
0916da87a7eb4bb582fe0836fde09498,3/1/2016,en,GB,"iPhone8,1",9
f0ecb1f976f246989fb43acf0f5b643b,3/1/2016,en,US,"iPhone8,1",9.2.1
47435f0ea0cf4a7f882b7f87ce73d1a5,3/1/2016,en,GB,"iPhone5,2",9.2.1
98d8d9246e2a4e6485a01526c06e1695,3/1/2016,en,BS,"iPad4,1",9.2.1
10f0eb3629bc470894683d60e0f8ede0,3/1/2016,en,US,"iPhone8,2",9.2
b1a25ee788bd4155aed5699dfdadbbcd,3/1/2016,en,CA,"iPhone3,1",7.1.2
f86d83ccef5043ce8b5ff094792745b7,3/1/2016,en,US,"iPhone7,2",9.2.1
abfc4b9907d54bb6b8c7ac22744f21a3,3/1/2016,en,US,"iPhone7,2",9.2.1
a016ef4e58c94cd2a468475701fade0d,3/1/2016,en,US,"iPhone6,1",9.2.1
ee181e2f28c6488e802435269486f8bc,3/1/2016,es,BO,"iPhone7,2",9.2.1
eb2ff2bd1ec94bf694c1de819e91886b,3/1/2016,en,US,"iPhone5,3",9.2.1
3392735fb0ef4056a350a1862b798cb1,3/1/2016,en,GB,"iPhone5,4",9.2
4080da8fb41445f48433e5c0760d1ffa,3/1/2016,en,US,"iPod5,1",8.1.3
c989c6b397bb497c8d4e776491942f84,3/1/2016,en,US,"iPad4,1",9.2.1
68703d194e6f454e9c01075a8734f434,3/1/2016,en,US,"iPad2,5",9.2.1
