udid,lang,country,hw_ver,os_ver,purchased,morning,afternoon,night,weekday,weekend,duration,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,first_week_count,first_week_avg,days_played_firstweek,second_week_count,second_week_avg,days_played_secondweek
61067f46de19491aa30f81cd5e87212c,en,US,"iPad2,5",9.2.1,N,1,18,0,14,5,32,4,0,0,0,0,0,0,0,0,0,0,1,0,8,4,1,1,9,1,2
e4aed61605944200ba5d30e2b9a266ef,en,US,"iPhone6,1",9.2.1,N,0,3,2,2,3,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0
708dfc1916e24fa48f4782322e2bbd21,en,US,"iPad2,5",9.2.1,N,54,101,31,85,101,58,9,6,2,4,2,1,1,0,1,2,0,0,0,0,25,4,7,3,0,2
70f10648d1114c1e993482caa3ee0ef0,en,US,"iPhone7,2",9.1,N,0,12,2,3,11,22,3,0,0,1,1,0,0,2,0,0,0,1,0,0,5,1,3,3,0,2
f2ec1daceddb4b22a8778a1bde5b2594,en,GB,"iPad3,1",9.2.1,N,2,4,2,3,5,10,2,3,2,0,0,0,0,0,0,0,1,0,0,0,7,1,3,1,0,1
449068c4da0e42f4af7fc6dd2d532518,en,AU,"iPad4,1",9.2.1,N,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
d52dca739feb4e54926e2a5a478463f7,en,AG,"iPhone5,1",9.2.1,N,4,31,4,6,33,6,19,14,2,3,0,0,1,0,0,0,0,0,0,0,39,6,5,0,0,0
8665efbec15440ab9d6dab21c3e7dcd0,en,US,"iPad2,4",8.1,N,15,71,6,41,51,48,14,16,10,0,4,0,2,0,2,0,0,0,0,5,46,7,5,7,1,2
79e818d82a424b01a94355a500c95984,en,US,"iPhone8,1",9.2.1,N,0,11,0,1,10,2,7,3,1,0,0,0,0,0,0,0,0,0,0,0,11,2,3,0,0,0
a49b492f45eb4e06ade6233594b6a164,en,US,"iPhone7,2",9.2,N,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
472be658d8504fed83c0a21a310dce74,en,US,"iPhone6,1",9.0.2,N,0,2,0,1,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
f787bcb38d3d4465a3603092c44ca76f,en,CA,"iPhone5,3",9.2,N,63,250,20,238,95,36,5,5,23,36,28,41,6,21,38,4,11,25,6,1,144,21,7,106,15,7
e59f8f33ad2d44e8b964894e1c99687b,en,PH,"iPhone5,2",9.0.2,N,6,2,2,3,7,58,3,4,1,1,0,0,0,0,0,0,0,0,0,0,9,1,4,0,0,0
84ced15a578f4ef4b018d4d54acdb652,en,US,"iPhone7,2",9.2.1,N,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
f123819b13a647a5a95339f05ff44677,en,US,"iPhone5,3",8.3,N,6,5,3,4,10,5,4,6,1,0,2,0,1,0,0,0,0,0,0,0,14,2,5,0,0,0
49f58aa6a88343adb8d0dc31741faeaf,en,US,"iPhone7,2",9.2.1,N,5,26,21,22,30,8,8,21,12,3,3,3,1,0,1,0,0,0,0,0,51,7,7,1,0,1
553febc614244cf3aba75c2077908b7b,en,PH,"iPad2,5",9.2.1,N,312,74,211,424,173,59,8,3,1,1,4,1,4,4,5,1,3,3,2,2,22,3,7,20,3,7
d38a44b84117420cbbf19bcd7bdb9e00,en,US,"iPhone8,1",9.2.1,N,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
